"","ID","NUTSID","iso_week","iso_yr","mean_tmpmean","mean_tmpwgtmean","mean_tmplogwgtmean","mean_tmp65plsmean","geo_code","geo_lab","year","TIME_PERIOD","death_count_tot","death_pop_an","stn_death","crude_death"
"73","2013-W01-FRJ25","FRJ25",1,2013,4.80890893936157,4.88150823116302,4.77812151114146,7.56179571151733,NA,NA,NA,NA,NA,NA,NA,NA
"74","2013-W01-FRJ26","FRJ26",1,2013,3.76800350348155,4.91149771213531,2.92546812693278,5.79564428329468,NA,NA,NA,NA,NA,NA,NA,NA
"75","2013-W01-FRJ27","FRJ27",1,2013,4.81599338849385,5.09728109836578,4.6241725285848,6.8771448135376,NA,NA,NA,NA,NA,NA,NA,NA
"76","2013-W01-FRJ28","FRJ28",1,2013,5.86241543292999,6.04170588652293,5.7656051715215,8.27500057220459,NA,NA,NA,NA,NA,NA,NA,NA
"77","2013-W01-FRK11","FRK11",1,2013,5.32141061623891,5.40304354826609,5.32194455464681,6.23561000823975,NA,NA,NA,NA,NA,NA,NA,NA
"78","2013-W01-FRK12","FRK12",1,2013,3.27781830231349,3.34656612078349,3.21852447092533,4.20989370346069,NA,NA,NA,NA,NA,NA,NA,NA
"79","2013-W01-FRK13","FRK13",1,2013,2.51957055429618,2.89790120720863,2.38969630996386,4.39520597457886,NA,NA,NA,NA,NA,NA,NA,NA
"80","2013-W01-FRK14","FRK14",1,2013,3.90618209044139,4.5137216647466,3.66454736391703,6.3064432144165,NA,NA,NA,NA,NA,NA,NA,NA
"81","2013-W01-FRK21","FRK21",1,2013,4.22116476297379,4.64321714639664,3.86712628602981,5.71416759490967,NA,NA,NA,NA,NA,NA,NA,NA
"82","2013-W01-FRK22","FRK22",1,2013,5.67470133304596,6.43121369679769,5.2065011660258,5.73457670211792,NA,NA,NA,NA,NA,NA,NA,NA
"83","2013-W01-FRK23","FRK23",1,2013,5.14410269260406,6.3110601902008,4.47379833459854,6.7742075920105,NA,NA,NA,NA,NA,NA,NA,NA
"84","2013-W01-FRK24","FRK24",1,2013,2.75243386129538,3.59899435440699,1.25905106465022,3.93365788459778,NA,NA,NA,NA,NA,NA,NA,NA
"85","2013-W01-FRK25","FRK25",1,2013,4.02307486534119,4.15817932287852,3.77291864156723,5.69134569168091,NA,NA,NA,NA,NA,NA,NA,NA
"86","2013-W01-FRK26","FRK26",1,2013,4.79271868864695,5.61474780241648,3.06796532869339,6.88977432250977,NA,NA,NA,NA,NA,NA,NA,NA
"87","2013-W01-FRK27","FRK27",1,2013,-1.03740094990159,1.42736488580704,-2.07528962691625,0.246140703558922,NA,NA,NA,NA,NA,NA,NA,NA
"88","2013-W01-FRK28","FRK28",1,2013,1.25131491820018,2.41880821188291,-0.102855761845907,1.45289587974548,NA,NA,NA,NA,NA,NA,NA,NA
"89","2013-W01-FRL01","FRL01",1,2013,4.00108385582765,5.08054552475612,3.64127652843793,1.40609359741211,NA,NA,NA,NA,NA,NA,NA,NA
"90","2013-W01-FRL02","FRL02",1,2013,-0.0114306112130461,1.20434650778771,-0.423825641473133,-1.87231922149658,NA,NA,NA,NA,NA,NA,NA,NA
"91","2013-W01-FRL03","FRL03",1,2013,6.97182156642278,9.6603905359904,6.0564501422147,5.52365636825562,NA,NA,NA,NA,NA,NA,NA,NA
"92","2013-W01-FRL04","FRL04",1,2013,8.05708495775859,8.56788992881775,7.92541654904683,8.88738536834717,NA,NA,NA,NA,NA,NA,NA,NA
"93","2013-W01-FRL05","FRL05",1,2013,7.66366076469421,8.24298000335694,7.35091169675191,6.479407787323,NA,NA,NA,NA,NA,NA,NA,NA
"94","2013-W01-FRL06","FRL06",1,2013,6.80161722501119,7.56038085619609,6.18150341510773,7.08922386169434,NA,NA,NA,NA,NA,NA,NA,NA
"95","2013-W01-FRM01","FRM01",1,2013,8.51663867632548,9.50692097345987,8.30457862218221,8.50777339935303,NA,NA,NA,NA,NA,NA,NA,NA
"96","2013-W01-FRM02","FRM02",1,2013,8.16413974761963,9.35905265808107,7.80901495615641,8.22293758392334,NA,NA,NA,NA,NA,NA,NA,NA
"97","2013-W02-FR101","FR101",2,2013,5.45667539324079,5.46560420308794,5.46117765562875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2013-W02-FR102","FR102",2,2013,4.01989354406084,4.36149266787938,3.84089224679129,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","2013-W02-FR103","FR103",2,2013,4.43378414426531,4.58249071666173,4.03566367285592,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2013-W02-FR104","FR104",2,2013,4.41595053672791,4.59198846135821,3.87966436999185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2013-W02-FR105","FR105",2,2013,5.15544373648507,5.22628722872053,5.18915370532444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","2013-W02-FR106","FR106",2,2013,5.03706547192165,5.18158538000924,5.11540521894183,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2013-W02-FR107","FR107",2,2013,5.0684289591653,5.20444508961269,5.12507700920105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","2013-W02-FR108","FR108",2,2013,4.87691245760236,5.12898114749363,8.35171719959805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","2013-W02-FRB01","FRB01",2,2013,4.07113334110805,4.26812471662249,4.04647162982396,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","2013-W02-FRB02","FRB02",2,2013,4.60456946917943,4.67716295378549,4.59273750441415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2013-W02-FRB03","FRB03",2,2013,4.63072337423052,4.6473822593689,4.65063810348511,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2013-W02-FRB04","FRB04",2,2013,5.16601361547198,5.28903664861407,5.11338979857308,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2013-W02-FRB05","FRB05",2,2013,4.71380186080933,4.80534608023507,4.6736661025456,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2013-W02-FRB06","FRB06",2,2013,4.26376908166068,4.434492792402,4.2173194204058,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","2013-W02-FRC11","FRC11",2,2013,1.98283635505608,2.22744856828025,1.92266089575631,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","2013-W02-FRC12","FRC12",2,2013,2.65607458353043,3.08793830871582,2.59082566414561,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","2013-W02-FRC13","FRC13",2,2013,2.56961128115654,2.67266982368061,2.53311898772206,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2013-W02-FRC14","FRC14",2,2013,3.14683096749442,3.43902397155762,3.06384646892548,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","2013-W02-FRC21","FRC21",2,2013,0.609205956969944,1.06473700489317,0.432083503210119,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","2013-W02-FRC22","FRC22",2,2013,1.05060277666364,1.35013327428273,0.888084079538072,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2013-W02-FRC23","FRC23",2,2013,2.13195565555777,1.92359160419021,2.19450138509273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2013-W02-FRC24","FRC24",2,2013,0.841640685285841,0.886984369584491,0.793252442564283,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2013-W02-FRD11","FRD11",2,2013,5.96443768909999,6.25231664521354,5.87273948533194,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2013-W02-FRD12","FRD12",2,2013,6.59648673874991,6.81706472805568,6.51499237333025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2013-W02-FRD13","FRD13",2,2013,4.86626710210528,4.93765238353184,4.84513817514692,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2013-W02-FRD21","FRD21",2,2013,4.78333064488002,4.83060789108276,4.74286259923663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2013-W02-FRD22","FRD22",2,2013,4.76675309453692,4.99106713703701,4.59867884431567,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2013-W02-FRE11","FRE11",2,2013,3.6071697303227,3.72617973600115,3.24935518843787,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","2013-W02-FRE12","FRE12",2,2013,3.92085352114269,3.92396030255726,3.90624306031636,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","2013-W02-FRE21","FRE21",2,2013,3.73002896990095,3.79046244280679,3.7092843566622,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","2013-W02-FRE22","FRE22",2,2013,4.17263444832393,4.3167655978884,4.0900309256145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","2013-W02-FRE23","FRE23",2,2013,4.21999927077974,4.290231355599,4.19516821844237,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2013-W02-FRF11","FRF11",2,2013,1.74477799449648,1.99467244318553,1.53469805206571,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","2013-W02-FRF12","FRF12",2,2013,1.42889282958848,1.61002884166581,1.24951805812972,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","2013-W02-FRF21","FRF21",2,2013,2.5720023725714,2.51530714971679,2.59003835916519,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","2013-W02-FRF22","FRF22",2,2013,3.03404695647103,3.16628442491804,2.99535722391946,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","2013-W02-FRF23","FRF23",2,2013,3.03156990664346,3.30603270871299,2.97570354597909,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","2013-W02-FRF24","FRF24",2,2013,2.06757846474648,2.27382568802152,2.03613612481526,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2013-W02-FRF31","FRF31",2,2013,2.11867876563753,2.15363694940295,2.14230780090604,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","2013-W02-FRF32","FRF32",2,2013,2.18003152949469,2.20318901113101,2.1746697809015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","2013-W02-FRF33","FRF33",2,2013,1.68701068205493,1.72849639824459,1.71121463951256,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","2013-W02-FRF34","FRF34",2,2013,1.73117320558855,1.72862272496734,1.75142176236425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","2013-W02-FRG01","FRG01",2,2013,6.44839205060687,6.47110595021929,6.39128432955061,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","2013-W02-FRG02","FRG02",2,2013,5.8869468825204,5.949688741139,5.85289447648185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","2013-W02-FRG03","FRG03",2,2013,5.51600006648472,5.63029187066214,5.4777352469308,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","2013-W02-FRG04","FRG04",2,2013,5.32389095851353,5.44795554024833,5.2719692502703,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","2013-W02-FRG05","FRG05",2,2013,6.51930740901402,6.56738843236651,6.51837621416364,NA,NA,NA,NA,NA,NA,NA,NA,NA
