"","ID","NUTSID","iso_week","iso_yr","max_tmpavg","max_tmpwgtavg","max_tmplogwgtavg","max_tmp65plsavg","geo_code","geo_lab","year","TIME_PERIOD","death_count_tot","death_pop_an","stn_death","crude_death"
"87","2013-W01-FRK27","FRK27",1,2013,2.79646151761214,5.20722130934397,1.73548384507497,5.20124959945679,NA,NA,NA,NA,NA,NA,NA,NA
"88","2013-W01-FRK28","FRK28",1,2013,4.95766818523407,6.13624207178751,3.50066305200259,6.0126885175705,NA,NA,NA,NA,NA,NA,NA,NA
"89","2013-W01-FRL01","FRL01",1,2013,9.69437015056609,11.2540524800619,9.22178469101587,11.2641171614329,NA,NA,NA,NA,NA,NA,NA,NA
"90","2013-W01-FRL02","FRL02",1,2013,4.35851887861888,5.69822659095128,3.86473493278027,5.70569149653117,NA,NA,NA,NA,NA,NA,NA,NA
"91","2013-W01-FRL03","FRL03",1,2013,11.2455962101618,13.8767629464467,10.322506348292,13.8536934057872,NA,NA,NA,NA,NA,NA,NA,NA
"92","2013-W01-FRL04","FRL04",1,2013,12.6538310050964,13.4004837671916,12.0946218172709,13.4182785352071,NA,NA,NA,NA,NA,NA,NA,NA
"93","2013-W01-FRL05","FRL05",1,2013,13.6520878473918,13.7492801348369,13.4450565179189,13.7385080655416,NA,NA,NA,NA,NA,NA,NA,NA
"94","2013-W01-FRL06","FRL06",1,2013,11.5803097089132,11.6277588208516,11.5508879820506,11.6354079246521,NA,NA,NA,NA,NA,NA,NA,NA
"95","2013-W01-FRM01","FRM01",1,2013,12.584414323171,13.4231638908386,12.3683225313822,13.5418028831482,NA,NA,NA,NA,NA,NA,NA,NA
"96","2013-W01-FRM02","FRM02",1,2013,11.8902842203776,13.372243086497,11.5546056429545,13.1853186289469,NA,NA,NA,NA,NA,NA,NA,NA
"97","2013-W02-FR101","FR101",2,2013,6.9042466708592,6.9088533946446,6.90717738015311,6.90889433452061,NA,NA,NA,NA,NA,NA,NA,NA
"98","2013-W02-FR102","FR102",2,2013,5.30342871802194,5.64663631575448,5.11581611633301,5.6436460018158,NA,NA,NA,NA,NA,NA,NA,NA
"99","2013-W02-FR103","FR103",2,2013,5.89088787351336,6.04856014251709,5.50293557984488,6.04753698621477,NA,NA,NA,NA,NA,NA,NA,NA
"100","2013-W02-FR104","FR104",2,2013,6.06951011930193,6.13008035932268,5.91296226637704,6.12940338679722,NA,NA,NA,NA,NA,NA,NA,NA
"101","2013-W02-FR105","FR105",2,2013,6.71834427969796,6.79193816866194,6.75329072134836,6.79180826459612,NA,NA,NA,NA,NA,NA,NA,NA
"102","2013-W02-FR106","FR106",2,2013,6.32238251822335,6.50896406173706,6.42150756290981,6.50812101364136,NA,NA,NA,NA,NA,NA,NA,NA
"103","2013-W02-FR107","FR107",2,2013,6.37552792685373,6.55196550914219,6.45069660459246,6.55187852042062,NA,NA,NA,NA,NA,NA,NA,NA
"104","2013-W02-FR108","FR108",2,2013,6.25255959374564,6.53567368643624,9.99058158057076,6.53458220618112,NA,NA,NA,NA,NA,NA,NA,NA
"105","2013-W02-FRB01","FRB01",2,2013,6.02690485545567,6.23995379039219,5.9969174180712,6.23747907366071,NA,NA,NA,NA,NA,NA,NA,NA
