"","ID","NUTSID","iso_week","iso_yr","avg_temp","wgt_temp","wgt_logtemp","wgt_65plstemp","geo_code","geo_lab","year","TIME_PERIOD","death_count_tot","death_pop_an","stn_death","crude_death"
"42401","2022-W24-FRJ12","FRJ12",24,2022,27.015659059797,26.9147780282157,26.9372329711914,27.5021705627441,"FRJ12","Gard",2022,"2022-W24",153,755497,14.5938088650742,20.251569496636
"42402","2022-W24-FRJ13","FRJ13",24,2022,25.8105248042516,25.784610748291,25.8136847359793,26.1491391318185,"FRJ13","Hérault",2022,"2022-W24",247,1218474,15.9900972329538,20.2712573267874
"42403","2022-W24-FRJ14","FRJ14",24,2022,23.0337374550956,23.4589260646275,23.4912079402379,23.4166120801653,"FRJ14","Lozère",2022,"2022-W24",22,76572,16.5909728206508,28.7311288721726
"42404","2022-W24-FRJ15","FRJ15",24,2022,23.0640904562814,23.726432800293,24.1261296953474,26.5624506814139,"FRJ15","Pyrénées-Orientales",2022,"2022-W24",122,488379,15.3580624247595,24.9805990839082
"42405","2022-W24-FRJ21","FRJ21",24,2022,22.9722521645682,23.9501598903111,24.0192304338728,25.1056905473981,"FRJ21","Ariège",2022,"2022-W24",31,154424,12.8904531000689,20.0745998031394
"42406","2022-W24-FRJ22","FRJ22",24,2022,25.045583997454,25.1017142704555,25.0961366380964,25.212735584804,"FRJ22","Aveyron",2022,"2022-W24",67,279639,13.0562531327235,23.9594620206767
"42407","2022-W24-FRJ23","FRJ23",24,2022,26.5233124324254,26.9246905190604,26.8352595738002,27.9536860329764,"FRJ23","Haute-Garonne",2022,"2022-W24",196,1452541,12.3454811212048,13.4935950172835
"42408","2022-W24-FRJ24","FRJ24",24,2022,26.8588022504534,26.881139755249,26.8770792824882,26.9166142599923,"FRJ24","Gers",2022,"2022-W24",55,192553,14.9560673927242,28.5635643173568
"42409","2022-W24-FRJ25","FRJ25",24,2022,26.15217426845,26.2140821729387,26.2190799713135,26.2201118469238,"FRJ25","Lot",2022,"2022-W24",41,175196,12.343129751542,23.4023607844928
"42410","2022-W24-FRJ26","FRJ26",24,2022,22.9309700557164,23.3497823987688,23.2537738255092,25.2242766789028,"FRJ26","Hautes-Pyrénées",2022,"2022-W24",63,230404,16.9069446138761,27.3432752903595
"42411","2022-W24-FRJ27","FRJ27",24,2022,26.6350765228272,26.8132675715855,26.7775903429304,27.2459779466901,"FRJ27","Tarn",2022,"2022-W24",85,393436,13.2931361006927,21.6045303429274
"42412","2022-W24-FRJ28","FRJ28",24,2022,27.3562548501151,27.4100674220494,27.3998391287668,27.6176433563232,"FRJ28","Tarn-et-Garonne",2022,"2022-W24",59,264886,14.7209783427328,22.2737328511133
"42413","2022-W24-FRK11","FRK11",24,2022,23.6498206002372,23.6393356323242,23.6409974779401,23.7997610909598,"FRK11","Allier",2022,"2022-W24",63,333500,11.8003966406956,18.8905547226387
"42414","2022-W24-FRK12","FRK12",24,2022,22.6600826808384,22.6782049451555,22.6838071005685,23.1301462990897,"FRK12","Cantal",2022,"2022-W24",35,143803,12.8877399203222,24.3388524578764
"42415","2022-W24-FRK13","FRK13",24,2022,22.330107825143,22.3714130946568,22.4182662963867,22.7838573455811,"FRK13","Haute-Loire",2022,"2022-W24",36,227097,10.3019362621913,15.8522569650854
"42416","2022-W24-FRK14","FRK14",24,2022,22.7654585157122,22.8634744371687,22.8335353306362,23.9094775063651,"FRK14","Puy-de-Dôme",2022,"2022-W24",124,666796,13.9080797694289,18.5963922998938
"42417","2022-W24-FRK21","FRK21",24,2022,24.0179800306048,23.9020810808454,23.8872487204416,24.622405733381,"FRK21","Ain",2022,"2022-W24",91,666971,13.0088086004311,13.6437716182563
"42418","2022-W24-FRK22","FRK22",24,2022,24.8708324432373,24.6255441393171,24.757332938058,25.9567407880511,"FRK22","Ardèche",2022,"2022-W24",68,331214,13.5024802871941,20.5305331296382
"42419","2022-W24-FRK23","FRK23",24,2022,24.1315386635916,24.1963688986642,24.2203783307757,25.8067270006452,"FRK23","Drôme",2022,"2022-W24",90,521319,13.0816500342838,17.2639017568897
"42420","2022-W24-FRK24","FRK24",24,2022,21.7204954964774,22.0057849884033,21.9127093723842,23.4849273136684,"FRK24","Isère",2022,"2022-W24",153,1288501,10.2537114532453,11.8742631942078
"42421","2022-W24-FRK25","FRK25",24,2022,23.6218166351318,23.4605541229248,23.5116078513009,23.8536434173584,"FRK25","Loire",2022,"2022-W24",145,770678,14.049824963977,18.814602207407
"42422","2022-W24-FRK26","FRK26",24,2022,24.9085183824811,25.0787031991141,24.9382266998291,25.9004320417132,"FRK26","Rhône",2022,"2022-W24",240,1908625,11.2968045340747,12.574497347567
"42423","2022-W24-FRK27","FRK27",24,2022,17.7855982099261,19.6147589002337,20.1905476706368,21.4102115631104,"FRK27","Savoie",2022,"2022-W24",74,444872,12.7238584738913,16.6339980938337
"42424","2022-W24-FRK28","FRK28",24,2022,20.3728357042585,NA,NA,22.1295460292271,"FRK28","Haute-Savoie",2022,"2022-W24",113,853015,12.3046190651495,13.2471293001882
"42425","2022-W24-FRL01","FRL01",24,2022,21.5229407719203,21.9632723672049,21.8672613416399,24.1274215153286,"FRL01","Alpes-de-Haute-Provence",2022,"2022-W24",22,166198,8.33580321272364,13.2372230712764
"42426","2022-W24-FRL02","FRL02",24,2022,18.1585911342076,NA,NA,20.1810874938965,"FRL02","Hautes-Alpes",2022,"2022-W24",34,140078,17.0129161753747,24.2721912077557
"42427","2022-W24-FRL03","FRL03",24,2022,20.8950148991176,NA,NA,24.0592773982457,"FRL03","Alpes-Maritimes",2022,"2022-W24",213,1106233,12.222663071168,19.254533177007
"42428","2022-W24-FRL04","FRL04",24,2022,26.3479734148298,26.1002886635917,26.1316645486014,26.0763664245606,"FRL04","Bouches-du-Rhône",2022,"2022-W24",334,2061919,12.8788278213515,16.1985024629968
"42429","2022-W24-FRL05","FRL05",24,2022,24.5314205714635,24.5601117270334,24.5812579563686,24.6089368547712,"FRL05","Var",2022,"2022-W24",243,1102074,13.6278082252815,22.0493360699917
"42430","2022-W24-FRL06","FRL06",24,2022,25.8549011775426,25.6414192744664,25.7870676858084,26.791645867484,"FRL06","Vaucluse",2022,"2022-W24",104,563315,13.9432935816486,18.4621393003914
"42431","2022-W24-FRM01","FRM01",24,2022,22.3118149893625,22.2223227364676,22.3007965087891,22.9400503976004,"FRM01","Corse-du-Sud",2022,"2022-W24",38,162924,16.0545291955923,23.3237583167612
"42432","2022-W24-FRM02","FRM02",24,2022,22.3691517966134,22.6768305642264,22.5976701463972,23.6168188367571,"FRM02","Haute-Corse",2022,"2022-W24",24,185906,8.85769039897824,12.9097500887545
"42433","2022-W25-FR101","FR101",25,2022,20.6337648119245,20.6370318276542,20.6366348266602,20.6392547062465,"FR101","Paris",2022,"2022-W25",282,2117702,12.8565450037821,13.3163211821116
"42434","2022-W25-FR102","FR102",25,2022,19.9086159297398,19.9354406084333,19.9193777356829,20.0106503622872,"FR102","Seine-et-Marne",2022,"2022-W25",154,1444389,11.5164141984352,10.6619477163008
"42435","2022-W25-FR103","FR103",25,2022,19.4939111982073,19.583434513637,19.5255418504987,19.6986691611154,"FR103","Yvelines",2022,"2022-W25",115,1457312,7.46071160272643,7.8912408598845
"42436","2022-W25-FR104","FR104",25,2022,20.2577860695975,20.297048841204,20.2759644644601,20.3365655626569,"FR104","Essonne",2022,"2022-W25",111,1312419,8.79790482644272,8.45766481588578
"42437","2022-W25-FR105","FR105",25,2022,20.3196991511754,20.3621580941336,20.3340707506452,20.3689215523856,"FR105","Hauts-de-Seine",2022,"2022-W25",183,1637090,10.9609513820049,11.1783713784826
"42438","2022-W25-FR106","FR106",25,2022,20.2619895935059,20.3355990818569,20.2993839808873,20.3427333831787,"FR106","Seine-Saint-Denis",2022,"2022-W25",126,1673645,9.87365613962718,7.52847826151902
"42439","2022-W25-FR107","FR107",25,2022,20.4981419699533,20.5631653921945,20.5173500605992,20.5774154663086,"FR107","Val-de-Marne",2022,"2022-W25",155,1420404,11.2610486209532,10.9123883064255
"42440","2022-W25-FR108","FR108",25,2022,19.449575151716,19.6593178340367,19.5165429796491,19.8381786346436,"FR108","Val-d'Oise",2022,"2022-W25",128,1266471,11.8582165933914,10.1068243962949
"42441","2022-W25-FRB01","FRB01",25,2022,20.4042167663574,20.4071040834699,20.4086753300258,20.4907602582659,"FRB01","Cher",2022,"2022-W25",48,298249,10.153044967597,16.0939349335622
"42442","2022-W25-FRB02","FRB02",25,2022,19.414961542402,19.392384665353,19.3870638438634,19.4598057610648,"FRB02","Eure-et-Loir",2022,"2022-W25",69,429570,12.7538547248128,16.0625742021091
"42443","2022-W25-FRB03","FRB03",25,2022,19.974689074925,19.982579776219,19.9799404144287,20.0027198791504,"FRB03","Indre",2022,"2022-W25",39,216241,10.0358442803024,18.0354326885281
"42444","2022-W25-FRB04","FRB04",25,2022,20.1586908612933,20.1485148838588,20.1457688467843,20.2017906733922,"FRB04","Indre-et-Loire",2022,"2022-W25",104,616107,12.5867559646956,16.8801847730995
"42445","2022-W25-FRB05","FRB05",25,2022,19.9971381596156,19.9899578094482,19.9951373508999,20.0234721047538,"FRB05","Loir-et-Cher",2022,"2022-W25",74,327388,13.6786732634222,22.6031497794666
"42446","2022-W25-FRB06","FRB06",25,2022,20.3034237452916,20.2975730895996,20.3006335667201,20.2871856689453,"FRB06","Loiret",2022,"2022-W25",123,685081,15.0614782111218,17.9540813422063
"42447","2022-W25-FRC11","FRC11",25,2022,20.6090788160052,20.7401223863874,20.7560097830636,21.1458830152239,"FRC11","Côte-d’Or",2022,"2022-W25",106,535786,15.6923618322185,19.7840182460908
"42448","2022-W25-FRC12","FRC12",25,2022,20.1868862424578,20.13333266122,20.1330593654088,20.3558782849993,"FRC12","Nièvre",2022,"2022-W25",47,199379,13.527763252269,23.5731947697601
"42449","2022-W25-FRC13","FRC13",25,2022,21.1697041647775,21.125719342913,21.1424702235631,21.4506421770368,"FRC13","Saône-et-Loire",2022,"2022-W25",115,548526,12.3151545696522,20.9652778537389
"42450","2022-W25-FRC14","FRC14",25,2022,20.4390796933855,20.4465217590332,20.4510528019496,20.5684377125331,"FRC14","Yonne",2022,"2022-W25",65,331017,13.606440068652,19.6364537168786
"42451","2022-W25-FRC21","FRC21",25,2022,20.0493416104998,NA,NA,20.9019233158657,"FRC21","Doubs",2022,"2022-W25",74,548458,11.8589493161277,13.4923731625758
"42452","2022-W25-FRC22","FRC22",25,2022,20.5982543400356,20.3267781393869,20.4968863895961,20.8660534449986,"FRC22","Jura",2022,"2022-W25",41,257304,9.62997361484047,15.9344588502316
"42453","2022-W25-FRC23","FRC23",25,2022,21.4244218553816,21.3519641331264,21.3675967625209,21.391884122576,"FRC23","Haute-Saône",2022,"2022-W25",35,232619,12.1823305098334,15.046062445458
"42454","2022-W25-FRC24","FRC24",25,2022,21.1662769317627,21.173549924578,21.1553045000349,21.3944669451032,"FRC24","Territoire de Belfort",2022,"2022-W25",40,137917,24.1243687517772,29.0029510502694
"42455","2022-W25-FRD11","FRD11",25,2022,17.8492732729231,17.9139382498605,17.880416733878,17.9473385129656,"FRD11","Calvados",2022,"2022-W25",146,699791,16.2054210782329,20.8633720639448
"42456","2022-W25-FRD12","FRD12",25,2022,17.3528210776193,17.3063492093767,17.3307760783604,17.2985051018851,"FRD12","Manche",2022,"2022-W25",108,493646,14.5409847299396,21.8780259538212
"42457","2022-W25-FRD13","FRD13",25,2022,18.3171116965157,18.2178814751761,18.1896446772984,18.3122450964792,"FRD13","Orne",2022,"2022-W25",50,274595,10.4210075121307,18.2086345344963
